Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start_X,Start_Y,End_X,End_Y
Wydad,Passe ratee,Lost,1,,,,,26,0,0.1719,0.4579,0.7285,0.8474
Wydad,Passe ratee,Lost,1,,,,,26,0,0.1914,0.5576,0.6855,0.8193
Wydad,Passe ratee,Lost,1,,,,,26,0,0.1523,0.6760,0.6191,0.9720
Wydad,Passe ratee,Lost,1,,,,,20,0,0.1309,0.2679,0.3105,0.2773
Wydad,Passe ratee,Lost,1,,,,,20,0,0.3809,0.6636,0.8262,0.5794
Wydad,Passe ratee,Lost,1,,,,,20,0,0.6875,0.2991,0.7070,0.3676
Wydad,Passe ratee,Lost,1,,,,,20,0,0.6367,0.1028,0.6699,0.3053
Wydad,Passe ratee,Lost,1,,,,,20,0,0.6914,0.1869,0.8496,0.5171
Wydad,Passe ratee,Lost,1,,,,,20,0,0.6699,0.4611,0.7832,0.2866
Wydad,Passe ratee,Lost,1,,,,,20,0,0.9473,0.0623,0.8809,0.1059
Wydad,Passe ratee,Lost,1,,,,,20,0,0.6289,0.7383,0.7520,0.8380
Wydad,Passe ratee,Lost,1,,,,,20,0,0.7676,0.7882,0.8398,0.7757
Wydad,Passe ratee,Lost,1,,,,,20,0,0.6660,0.8349,0.6152,0.7975
Wydad,Passe ratee,Lost,1,,,,,3,0,0.6699,0.7882,0.7754,0.2336
Wydad,Passe ratee,Lost,1,,,,,3,0,0.2344,0.9065,0.4395,0.8318
Wydad,Passe ratee,Lost,1,,,,,3,0,0.3379,0.9252,0.7891,0.7290
Wydad,Passe ratee,Lost,1,,,,,3,0,0.2910,0.7227,0.6934,0.7913
Wydad,Passe ratee,Lost,1,,,,,3,0,0.3203,0.7944,0.7266,0.6698
Wydad,Passe ratee,Lost,1,,,,,3,0,0.4863,0.7040,0.8320,0.6355
Wydad,Passe ratee,Lost,1,,,,,3,0,0.5273,0.9034,0.7910,0.5389
Wydad,Passe ratee,Lost,1,,,,,3,0,0.3320,0.5857,0.6777,0.0966
Wydad,Passe ratee,Lost,1,,,,,3,0,0.1973,0.5202,0.4414,0.3209
Wydad,Passe ratee,Lost,1,,,,,3,0,0.2617,0.7352,0.3184,0.7788
Wydad,Passe ratee,Lost,1,,,,,3,0,0.3066,0.7290,0.6211,0.9720
Wydad,Passe ratee,Lost,1,,,,,3,0,0.3633,0.7383,0.6387,0.7664
Wydad,Passe ratee,Lost,1,,,,,24,0,0.3164,0.5763,0.7129,0.3863
Wydad,Passe ratee,Lost,1,,,,,24,0,0.4746,0.2274,0.8613,0.4424
Wydad,Passe ratee,Lost,1,,,,,24,0,0.3535,0.2461,0.8457,0.3053
Wydad,Passe ratee,Lost,1,,,,,24,0,0.4258,0.0561,0.8027,0.0312
Wydad,Passe ratee,Lost,1,,,,,24,0,0.2910,0.2087,0.7227,0.0343
Wydad,Passe ratee,Lost,1,,,,,24,0,0.4277,0.3645,0.5664,0.6573
Wydad,Passe ratee,Lost,1,,,,,24,0,0.3203,0.3583,0.7285,0.6729
Wydad,Passe ratee,Lost,1,,,,,24,0,0.5098,0.5016,0.7441,0.7445
Wydad,Passe ratee,Lost,1,,,,,24,0,0.2988,0.4330,0.7461,0.9688
Wydad,Passe ratee,Lost,1,,,,,22,0,0.2520,0.7383,0.4629,0.7072
Wydad,Passe ratee,Lost,1,,,,,22,0,0.2715,0.7601,0.2852,0.6791
Wydad,Passe ratee,Lost,1,,,,,22,0,0.4063,0.8598,0.6973,0.8193
Wydad,Passe ratee,Lost,1,,,,,22,0,0.4258,0.9190,0.5664,0.8567
Wydad,Passe ratee,Lost,1,,,,,22,0,0.4551,0.9003,0.8652,0.7757
Wydad,Passe ratee,Lost,1,,,,,22,0,0.7539,0.9221,0.8574,0.6293
Wydad,Passe ratee,Lost,1,,,,,22,0,0.6445,0.9470,0.8066,0.6417
Wydad,Passe ratee,Lost,1,,,,,22,0,0.9453,0.7383,0.8652,0.4268
Wydad,Passe ratee,Lost,1,,,,,22,0,0.8340,0.9564,0.9160,0.6854
Wydad,Passe ratee,Lost,1,,,,,22,0,0.6074,0.8318,0.7070,0.9221
Wydad,Passe ratee,Lost,1,,,,,22,0,0.6621,0.3053,0.8320,0.2648
Wydad,Passe ratee,Lost,1,,,,,5,0,0.6309,0.3396,0.8027,0.2897
Wydad,Passe ratee,Lost,1,,,,,4,0,0.4727,0.5857,0.6172,0.9720
Wydad,Passe ratee,Lost,1,,,,,4,0,0.5605,0.8910,0.7695,0.9128
Wydad,Passe ratee,Lost,1,,,,,4,0,0.9297,0.9283,0.9297,0.8785
Wydad,Passe ratee,Lost,1,,,,,4,0,0.5313,0.4268,0.5918,0.3302
Wydad,Passe ratee,Lost,1,,,,,18,0,0.4707,0.0966,0.5410,0.1464
Wydad,Passe ratee,Lost,1,,,,,18,0,0.7168,0.0748,0.7715,0.0872
Wydad,Passe ratee,Lost,1,,,,,18,0,0.9199,0.2928,0.8730,0.3956
Wydad,Passe ratee,Lost,1,,,,,18,0,0.9277,0.6791,0.8711,0.4922
Wydad,Passe ratee,Lost,1,,,,,18,0,0.7285,0.4081,0.8496,0.5421
Wydad,Passe ratee,Lost,1,,,,,18,0,0.6563,0.6168,0.8066,0.4299
Wydad,Passe ratee,Lost,1,,,,,18,0,0.5938,0.8879,0.7402,0.7165
Wydad,Passe ratee,Lost,1,,,,,18,0,0.5996,0.7788,0.6543,0.8224
Wydad,Passe ratee,Lost,1,,,,,18,0,0.6445,0.9377,0.6211,0.9034
Wydad,Passe ratee,Lost,1,,,,,18,0,0.3887,0.6822,0.6895,0.1121
Wydad,Passe ratee,Lost,1,,,,,18,0,0.5371,0.5327,0.6055,0.4019
Wydad,Passe ratee,Lost,1,,,,,9,0,0.4961,0.8847,0.4102,0.9533
Wydad,Passe ratee,Lost,1,,,,,9,0,0.9180,0.4299,0.9395,0.5421
Wydad,Passe ratee,Lost,1,,,,,7,0,0.7148,0.2461,0.7891,0.4455
Wydad,Passe ratee,Lost,1,,,,,7,0,0.9180,0.2773,0.9043,0.5452
Wydad,Passe ratee,Lost,1,,,,,7,0,0.8730,0.2399,0.9141,0.4268
Wydad,Passe ratee,Lost,1,,,,,7,0,0.8359,0.1931,0.9531,0.6573
Wydad,Passe ratee,Lost,1,,,,,7,0,0.6211,0.8162,0.6426,0.7009
Wydad,Passe ratee,Lost,1,,,,,7,0,0.5293,0.6480,0.6230,0.6667
Wydad,Passe ratee,Lost,1,,,,,7,0,0.8867,0.9003,0.8906,0.8505
Wydad,Passe ratee,Lost,1,,,,,7,0,0.4082,0.0592,0.3633,0.0841
Wydad,Passe ratee,Lost,1,,,,,28,0,0.7070,0.7040,0.7773,0.3676
Wydad,Passe ratee,Lost,1,,,,,28,0,0.7598,0.4112,0.7559,0.2773
Wydad,Passe ratee,Lost,1,,,,,28,0,0.7734,0.7944,0.7969,0.5171
Wydad,Passe ratee,Lost,1,,,,,28,0,0.8555,0.6262,0.9063,0.4766
Wydad,Passe ratee,Lost,1,,,,,14,0,0.3809,0.0436,0.7324,0.4548
Wydad,Passe ratee,Lost,1,,,,,14,0,0.4688,0.1931,0.5137,0.2150
Wydad,Passe ratee,Lost,1,,,,,14,0,0.5449,0.1121,0.5742,0.1153
Wydad,Passe ratee,Lost,1,,,,,14,0,0.6816,0.3583,0.7578,0.3022
Wydad,Passe ratee,Lost,1,,,,,14,0,0.7168,0.0810,0.8457,0.4517
Wydad,Passe ratee,Lost,1,,,,,14,0,0.4473,0.4299,0.4629,0.4268
Adversaire,Passe ratee,Lost,2,,,,,18,0,0.1426,0.5047,0.4473,0.5826
Adversaire,Passe ratee,Lost,2,,,,,18,0,0.1406,0.3614,0.7227,0.2430
Adversaire,Passe ratee,Lost,2,,,,,18,0,0.1504,0.4424,0.3535,0.2461
Adversaire,Passe ratee,Lost,2,,,,,28,0,0.1426,0.6106,0.1504,0.6417
Adversaire,Passe ratee,Lost,2,,,,,28,0,0.1504,0.4891,0.0430,0.0312
Adversaire,Passe ratee,Lost,2,,,,,28,0,0.2969,0.5202,0.5156,0.7508
Adversaire,Passe ratee,Lost,2,,,,,28,0,0.2754,0.7040,0.3418,0.9128
Adversaire,Passe ratee,Lost,2,,,,,28,0,0.2207,0.8941,0.5254,0.8037
Adversaire,Passe ratee,Lost,2,,,,,28,0,0.3613,0.8255,0.6641,0.8972
Adversaire,Passe ratee,Lost,2,,,,,28,0,0.4922,0.9315,0.8457,0.5639
Adversaire,Passe ratee,Lost,2,,,,,28,0,0.3008,0.8972,0.6699,0.9408
