Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start_X,Start_Y,End_X,End_Y
Adversaire,PASS,,2,,,,,22,,0.2324,0.8505,0.0898,0.5732
Adversaire,PASS,,2,,,,,22,,0.3301,0.8287,0.1641,0.6137
Adversaire,PASS,,2,,,,,22,,0.2891,0.1900,0.2422,0.4704
Adversaire,PASS,,2,,,,,22,,0.6504,0.3333,0.1602,0.5701
Adversaire,PASS,,2,,,,,22,,0.6504,0.3333,0.6504,0.3333
Adversaire,PASS,,2,,,,,22,,0.6211,0.1090,0.2695,0.4704
Adversaire,PASS,,2,,,,,16,,0.1680,0.7383,0.3379,0.9315
Adversaire,PASS,,2,,,,,16,,0.3574,0.9315,0.2324,0.9034
Adversaire,PASS,,2,,,,,16,,0.3359,0.8162,0.2754,0.7196
Adversaire,PASS,,2,,,,,16,,0.6055,0.6698,0.2363,0.8816
Adversaire,PASS,,2,,,,,16,,0.5742,0.7290,0.4180,0.7539
Adversaire,PASS,,2,,,,,16,,0.5488,0.6947,0.3535,0.8131
Adversaire,PASS,,2,,,,,16,,0.3828,0.9221,0.3340,0.8442
Adversaire,PASS,,2,,,,,16,,0.3438,0.8287,0.2539,0.8754
Adversaire,PASS,,2,,,,,16,,0.2949,0.7975,0.3945,0.7757
Adversaire,PASS,,2,,,,,16,,0.3633,0.8006,0.5371,0.8349
Adversaire,PASS,,2,,,,,16,,0.3438,0.7726,0.2441,0.7040
Adversaire,PASS,,2,,,,,16,,0.4453,0.9065,0.3652,0.6355
Adversaire,PASS,,2,,,,,16,,0.4668,0.8660,0.2676,0.8505
Adversaire,PASS,,2,,,,,16,,0.3184,0.8318,0.2090,0.8505
Adversaire,PASS,,2,,,,,16,,0.6523,0.8349,0.5645,0.9252
Adversaire,PASS,,2,,,,,5,,0.1836,0.2928,0.0996,0.2991
Adversaire,PASS,,2,,,,,5,,0.2461,0.4798,0.3320,0.8131
Adversaire,PASS,,2,,,,,5,,0.3828,0.5950,0.3184,0.6604
Adversaire,PASS,,2,,,,,5,,0.5977,0.5483,0.4219,0.6012
Adversaire,PASS,,2,,,,,5,,0.5566,0.8069,0.3457,0.7196
Adversaire,PASS,,2,,,,,5,,0.2773,0.7165,0.1777,0.5919
Adversaire,PASS,,2,,,,,5,,0.1621,0.5732,0.1797,0.6791
Adversaire,PASS,,2,,,,,5,,0.1367,0.6542,0.2910,0.7944
Adversaire,PASS,,2,,,,,5,,0.2852,0.9190,0.1641,0.7352
Adversaire,PASS,,2,,,,,5,,0.3066,0.9128,0.1758,0.6417
Adversaire,PASS,,2,,,,,5,,0.2285,0.7632,0.1426,0.7227
Adversaire,PASS,,2,,,,,19,,0.0957,0.4268,0.1309,0.1526
